Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
37	16.232094	2.0456839	19.415434	12.475462	173.625	85.74663	429.0	0.0	1000.0	196271.0	0.17216754385964914	1.655092	0.5076073	2.716035	0.007218512	18.54942	11.96297	73.18547	-4.4343314	-4.656613e-09	-0.012042076	7.4505806e-08	0.0013627498	0.12844247	-0.056481615	185.28348	-104.88674	0	0	1.620668	0.0	1.322211	0.00979276	1140000	2578.5144934654236
38	17.947372	2.5429673	23.607931	12.301679	178.58333	89.9481	324.0	0.0	1000.0	201765.0	0.17244871794871794	1.7616645	0.4549295	2.8999696	0.32366353	18.162262	11.819858	64.0331	-10.08497	5.5879354e-09	-0.01226086	-7.450581e-09	0.008304536	0.133425	-0.055562478	200.65784	-111.368065	0	0	1.6292821	0.0	1.2953402	0.009604024	1170000	2646.8553915023804
39	15.12218	5.5683746	23.538727	1.3265672	246.45833	118.91488	445.0	43.0	1000.0	208969.0	0.17414083333333333	1.7157371	0.5042523	3.1281636	0.2854565	20.06445	12.575145	82.69086	-7.895357	-1.8626451e-08	-0.012136024	-9.685755e-08	-0.007587035	0.2331092	-0.11950487	304.49258	-171.99399	0	0	1.6170177	0.0	1.2903574	0.009643279	1200000	2715.35951423645
40	16.064175	2.8302617	21.110115	9.927037	169.58333	96.856384	424.0	50.0	1000.0	214447.0	0.17434715447154472	1.6770113	0.54924005	2.782214	0.021432932	22.670944	12.980508	86.8583	-4.281775	-3.4924597e-09	-0.011812269	-8.195639e-08	-0.0047664037	0.13716604	-0.0625823	245.9075	-140.72049	0	0	1.6863666	0.0	1.2764198	0.009723294	1230000	2783.798268556595
41	16.814428	3.029426	22.10908	8.597991	161.5	66.45425	289.0	29.0	1000.0	219069.0	0.17386428571428572	1.6871682	0.51722765	2.7470694	-0.07280114	19.229586	11.256087	80.09201	-5.9518213	-5.5879354e-09	-0.011928145	-9.685755e-08	0.0087026805	0.13220136	-0.057058837	163.56207	-91.68118	0	0	1.6562266	0.0	1.2645662	0.009845963	1260000	2851.766052722931
42	17.379824	2.71464	22.50778	11.198673	189.5	120.407295	453.0	0.0	1000.0	224900.0	0.17434108527131784	1.7460566	0.4781176	3.0462692	0.13519526	17.28474	11.337123	71.05829	-9.059404	-7.450581e-09	-0.0119781755	-1.4901161e-08	0.013311505	0.13113508	-0.056841835	200.34724	-111.80531	0	0	1.6332214	0.0	1.2515919	0.009638402	1290000	2919.761223077774
43	16.371923	4.8833814	23.797695	0.10217182	197.33333	85.57096	372.0	39.0	1000.0	231094.0	0.17507121212121213	1.7400542	0.5159621	2.8549192	0.047306854	21.345469	13.580188	83.91603	-7.474578	1.5832484e-08	-0.011757913	-7.0780516e-08	0.008121008	0.16948721	-0.08525724	204.48682	-109.64429	0	0	1.6578337	0.0	1.2382361	0.009426404	1320000	2987.9145171642303
44	17.828445	2.9569962	22.5524	7.303544	167.79167	97.00987	319.0	0.0	1000.0	236352.0	0.17507555555555557	1.7298183	0.5724722	2.9628873	-0.45138592	19.55851	11.892244	75.78302	-8.343556	1.8626451e-09	-0.011874488	8.940697e-08	-0.0018607369	0.15383469	-0.07171662	207.588	-114.95331	0	0	1.6751502	0.0	1.2105764	0.009626947	1350000	3056.3461525440216
45	17.733557	2.2006092	23.627745	13.318788	151.79167	69.03319	312.0	47.0	1000.0	241073.0	0.17469057971014493	1.7841492	0.47637203	3.0622795	-0.2062403	17.859177	11.9793215	77.46449	-13.11348	-1.8626451e-09	-0.012620853	1.4901161e-08	-0.014122095	0.13715595	-0.0670048	167.19904	-98.19397	0	0	1.5895966	0.0	1.2045681	0.00952708	1380000	3124.3659760951996
46	17.688477	2.8973284	22.73463	10.713332	172.45833	87.6066	445.0	42.0	1000.0	246608.0	0.17489929078014185	1.8124834	0.47722104	2.7521672	0.28120348	17.64168	11.937571	72.38056	-7.7935863	-9.313226e-09	-0.013390351	8.940697e-08	-0.0071910275	0.124282084	-0.061920986	221.66522	-130.02385	0	0	1.4933116	0.0	1.1815543	0.009479451	1410000	3192.3627004623413
