Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
51	17.184557	1.8970854	19.922297	13.567291	176.875	86.65272	323.0	42.0	1000.0	284892.0	0.18262307692307692	1.6415014	0.46710217	2.7787225	-0.0254683	20.00741	13.895783	83.19704	-6.851335	-8.381903e-09	-0.01868398	6.7055225e-08	-0.0013470501	0.112829015	-0.055440288	200.48071	-118.71462	0	0	79.0	1.2787156	0.0071242605	1560000	3930.1802728176117
52	16.639187	2.4816728	22.901497	12.50375	198.20833	114.77695	446.0	11.0	1000.0	291023.0	0.18303333333333333	1.7018532	0.47809023	2.8218138	0.22570775	18.113909	12.189016	76.48801	-7.341066	1.4901161e-08	0.013129681	-7.4505806e-08	0.015855888	0.11456418	-0.056083888	247.85599	-142.50116	0	0	5.0	1.2465215	0.02291994	1590000	3997.5816974639893
53	16.64994	2.0376554	20.783693	12.053473	181.45833	94.526886	364.0	29.0	1000.0	296583.0	0.18307592592592592	1.6671625	0.51619476	2.8771162	0.0725036	19.98439	14.059763	83.88636	-7.656664	0.0	0.0025396054	7.450581e-09	0.010564456	0.11698586	-0.057507887	206.6476	-119.18487	0	0	1.0	1.2456653	0.009151259	1620000	4064.1365938186646
54	15.818561	2.9718816	20.420387	9.91541	155.375	91.40788	364.0	0.0	1000.0	301420.0	0.18267878787878788	1.6982576	0.50143325	2.700189	0.113018736	17.914541	11.456336	78.31938	-9.055173	-5.820766e-09	-0.0002775158	4.4703484e-08	0.00492143	0.11100573	-0.054337494	191.07243	-115.22428	0	0	1.0	1.2450938	0.0038885018	1650000	4130.7511830329895
55	16.25184	2.3124285	21.677145	12.800515	169.70833	86.956635	341.0	24.0	1000.0	306673.0	0.18254345238095238	1.6377815	0.46922392	2.8409607	0.11497926	17.537954	12.643093	80.12738	-7.95151	9.080395e-09	-0.001532574	7.4505806e-08	0.0010965143	0.11107123	-0.05307436	173.69357	-105.0493	0	0	1.0	1.2446511	0.0022823792	1680000	4197.261072635651
56	17.068083	2.229868	21.227531	10.048527	147.08333	65.08131	315.0	50.0	1000.0	312008.0	0.1824608187134503	1.7000748	0.48742178	2.8472512	0.21052817	17.14325	11.937677	75.07815	-6.642555	9.313226e-10	-0.0011458246	-8.940697e-08	-0.0048533515	0.11692292	-0.055083655	195.8907	-116.61533	0	0	1.0	1.2443725	0.001847193	1710000	4265.36563706398
57	16.581467	2.6871083	21.541386	10.726244	163.875	88.02808	376.0	17.0	1000.0	317114.0	0.18224942528735633	1.7406948	0.45691422	2.869704	-0.09081237	17.330046	12.835975	85.86481	-4.121722	-1.4901161e-08	-0.00071394886	5.9604645e-08	-0.0009294385	0.11884523	-0.064481005	209.11346	-127.66957	0	0	1.0	1.2443844	0.0041569695	1740000	4331.608540773392
58	16.415968	2.1605055	19.1813	12.147482	215.625	101.591835	405.0	8.0	1000.0	323265.0	0.18263559322033898	1.7117583	0.45841697	2.7709882	0.29833806	19.155857	13.769715	85.52834	-9.151274	-2.7939677e-09	-0.00083146454	1.4901161e-08	0.00018098799	0.11769092	-0.06222288	198.00832	-127.7547	0	0	1.0	1.2444959	0.0034417016	1770000	4397.989822387695
59	17.63469	3.067956	23.299164	8.32512	227.875	88.12695	396.0	59.0	1000.0	330048.0	0.18336	1.7274575	0.45976895	2.843159	0.30461106	20.432428	13.105611	71.71119	-8.204443	1.3038516e-08	-0.0011525507	2.9802322e-08	-0.0015319455	0.15177873	-0.08085461	223.5886	-141.94542	0	0	1.0	1.2445922	0.0016580331	1800000	4464.295135736465
60	17.169724	2.0882905	20.018509	11.374254	206.66667	85.99645	340.0	0.0	1000.0	335964.0	0.18358688524590164	1.794904	0.46302918	2.9758422	-0.12809892	21.350437	13.093591	78.76363	-6.2251277	7.450581e-09	-0.00024821117	1.4901161e-08	-0.007477813	0.13816276	-0.082079396	229.39876	-141.03658	0	0	1.0	1.2446071	0.005442053	1830000	4532.1793920993805
61	16.979801	1.6892903	19.209673	12.770948	172.91667	77.249016	341.0	16.0	1000.0	341074.0	0.1833731182795699	1.7230039	0.48740283	2.9863207	0.0233187	20.552204	12.9229355	83.151054	-10.850193	4.656613e-09	0.00018150918	-1.1920929e-07	-0.004830554	0.11198966	-0.06510258	168.72568	-113.174835	0	0	1.0	1.244656	0.0059978585	1860000	4598.7283453941345
62	16.931292	2.4611945	21.021524	12.193278	192.95833	88.02958	401.0	26.0	1000.0	346814.0	0.1834994708994709	1.7394739	0.48743036	3.1006997	0.12551078	18.073246	12.193421	71.88974	-7.083229	-1.1175871e-08	0.00028667878	-9.313226e-08	-0.00027057994	0.13596606	-0.07449915	191.8847	-118.776855	0	0	1.0	1.2446516	0.004913912	1890000	4665.395993471146
63	16.371656	2.8323014	21.048868	8.830157	187.5	97.00645	386.0	0.0	1000.0	352294.0	0.18348645833333332	1.751518	0.52723897	3.120685	-0.16258292	19.46029	12.370246	75.90994	-6.370608	5.5879354e-09	0.0012570331	0.0	0.0054710545	0.15644835	-0.09678362	189.34598	-124.36506	0	0	1.0	1.2445562	0.006689675	1920000	4731.909598827362
64	16.829725	2.4633293	21.60751	12.114933	182.0	94.90697	364.0	33.0	1000.0	358079.0	0.1836302564102564	1.7087096	0.5034195	2.93993	-0.07345166	20.359037	12.922003	83.38181	-13.25168	-3.7252903e-09	-0.00082771806	2.9802322e-08	0.00206092	0.12194977	-0.065148145	183.56586	-120.629715	0	0	1.0	1.244303	0.0020932152	1950000	4798.797333478928
65	16.385979	3.6557329	20.76779	1.9656761	186.20833	92.307	435.0	57.0	1000.0	363645.0	0.1836590909090909	1.7351841	0.50723475	2.873929	0.18168053	18.969555	12.756973	83.31064	-6.661766	-3.7252903e-09	0.0010931215	-6.7055225e-08	0.0048762625	0.13866144	-0.08082688	189.17303	-121.483406	0	0	1.0	1.2440277	0.007891182	1980000	4865.907055854797
66	17.343283	2.6121402	23.414156	11.045065	200.08333	87.775246	338.0	28.0	1000.0	369825.0	0.18399253731343285	1.7599349	0.49640143	2.99652	-0.1530922	21.0998	13.730867	82.17663	-7.4399	-9.313226e-09	-0.0017137213	1.1175871e-08	-0.00028752023	0.13279259	-0.07702248	179.26466	-117.41207	0	0	1.0	1.2436981	0.0021232446	2010000	4932.906044006348
