Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
53	16.860071	2.8384888	21.800137	9.199802	81.7	36.0205	141.0	23.0	1000.0	148393.0	0.09160061728395062	1.8040621	0.50951827	2.8365424	-0.009017514	8.152358	5.19591	34.198975	-2.2798667	-2.0345052e-09	-0.000624233	4.8828124e-08	-0.0008887695	0.14604655	-0.042686157	28.575287	-15.400427	0	0	1.0	1.5515379	0.0014171066	1620000	6811.8540251255035
54	16.629433	2.9506562	22.621298	12.250278	79.03333	30.516098	131.0	14.0	1000.0	150764.0	0.09137212121212121	1.7037982	0.5325676	2.9360137	-0.26807317	8.485694	5.575193	32.801044	-3.3856091	-4.0690105e-09	-0.00044184696	-3.6621095e-08	-6.9567875e-05	0.14547959	-0.0387695	24.97115	-13.280271	0	0	1.0	1.5506864	0.0007410894	1650000	6934.8443377017975
55	17.878992	2.2975416	23.379196	13.689751	84.96667	30.0904	141.0	31.0	1000.0	153313.0	0.0912577380952381	1.7857648	0.5105623	3.3579152	-0.090151556	8.261809	5.2949905	34.93036	-3.1620777	-3.5603842e-09	-0.00077661924	1.8310548e-08	-0.00031033324	0.16551086	-0.04070174	28.71677	-15.543254	0	0	1.0	1.549756	0.0008399721	1680000	7055.782685756683
56	16.884912	3.0057497	22.705244	10.548779	76.066666	25.403324	116.0	34.0	1000.0	155595.0	0.09099122807017544	1.802765	0.51347077	2.9798691	0.0707799	8.353537	5.0493507	35.299736	-5.3041744	-8.138021e-09	-0.00089167885	-3.2552084e-08	0.0005040568	0.14129221	-0.039554775	22.603716	-11.9094305	0	0	1.0	1.5489378	0.0014878283	1710000	7176.297890901566
57	17.16335	2.9173086	21.030178	11.878284	88.76667	28.614313	145.0	27.0	1000.0	158258.0	0.09095287356321839	1.7670294	0.52405876	2.9176617	-0.23489076	8.114273	5.3912983	32.94321	-4.4463863	5.086263e-09	-0.0006750122	4.0690104e-08	0.0015720581	0.14066465	-0.04153321	26.291718	-13.566133	0	0	1.0	1.5481755	0.0015432755	1740000	7297.420446872711
58	16.748325	2.582065	22.886644	10.695475	83.73333	33.214386	143.0	26.0	1000.0	160770.0	0.09083050847457627	1.8061717	0.5203239	2.8299434	-0.2906997	8.850578	5.553181	35.734787	-4.185962	0.0	-0.000674528	2.0345052e-08	-0.0009812561	0.123318896	-0.03223247	24.217619	-13.295057	0	0	1.0	1.5474372	0.0011765821	1770000	7419.061395645142
59	17.746246	2.5547469	22.783882	12.298327	84.1	33.695053	169.0	33.0	1000.0	163293.0	0.09071833333333333	1.7898698	0.46412528	2.7532148	-0.19316465	8.641394	5.127801	31.909737	-6.5478506	1.0172526e-09	-0.00039532065	0.0	-0.00013368326	0.13653822	-0.040333577	26.959467	-15.8822565	0	0	1.0	1.5467308	0.00058933947	1800000	7544.26328420639
60	18.82206	2.7248676	23.37608	12.876914	85.6	34.03293	164.0	33.0	1000.0	165861.0	0.0906344262295082	1.883682	0.4948564	3.0763717	-0.29491296	8.893748	5.384308	34.117233	-2.3642614	4.0690105e-09	-0.00025675457	4.0690105e-09	1.3480631e-05	0.15482283	-0.037284873	27.25806	-14.921444	0	0	1.0	1.5461977	0.000116207455	1830000	7669.762497186661
61	17.670012	2.7343166	23.769041	13.461091	67.333336	33.845074	133.0	16.0	1000.0	167881.0	0.09025860215053763	1.9009603	0.50106925	3.0094826	-0.045398064	7.6600733	5.248078	32.071953	-5.462989	5.086263e-09	-0.0005236124	0.0	-0.00053767907	0.15319063	-0.03836649	22.415688	-12.788321	0	0	1.0	1.5455081	0.00043697763	1860000	7792.724505662918
62	17.774435	2.6197777	23.678404	12.789227	82.666664	28.368214	154.0	31.0	1000.0	170361.0	0.09013809523809524	1.8617936	0.53593075	2.9478421	-0.11198527	7.6218295	5.317248	34.09928	-3.8885934	1.0172526e-09	-0.00066434883	2.0345052e-08	-0.00023195801	0.1290947	-0.03102833	29.18577	-17.273062	0	0	3.0	1.5447519	0.00036873735	1890000	7914.13787317276
63	17.882444	2.8050601	22.399721	12.590904	81.96667	38.075787	157.0	0.0	1000.0	172820.0	0.09001041666666666	1.8899969	0.50503117	2.9896548	-0.2308579	8.555975	5.242098	36.769775	-3.2119927	-6.1035155e-09	-0.0073975953	2.4414062e-08	0.0014876506	0.15595019	-0.042673692	27.85309	-15.146548	0	0	79.0	1.5433075	0.0055435747	1920000	8059.655729055405
64	17.46134	2.3651445	21.122139	11.944694	81.5	33.14287	181.0	15.0	1000.0	175265.0	0.08987948717948718	1.858997	0.51903516	3.045014	-0.047960445	8.161385	5.480396	36.25132	-3.5866563	0.0	-0.0070260316	-1.6276042e-08	-0.003984969	0.14563158	-0.041433178	23.558435	-12.529704	0	0	79.0	1.5093442	0.0048794504	1950000	8204.67646074295
